seed,width,batches,policy,capacity_records,events,max_live_records,queries,correct,all_correct,anchor_correct,peak_records,peak_serialized_payload_bytes,checkpoints
0,4,16,lru_value_records,8,196,4,49,48,False,False,8,272,16
0,4,16,release_on_retire,8,196,4,49,49,True,True,4,134,16
0,4,16,lru_value_records,3,260,4,49,47,False,False,3,103,80
0,4,16,release_on_retire,3,260,4,49,47,False,False,3,103,80
0,4,16,lru_value_records,4,260,4,49,48,False,False,4,137,80
0,4,16,release_on_retire,4,260,4,49,49,True,True,4,134,80
0,4,16,lru_value_records,8,260,4,49,48,False,False,8,272,80
0,4,16,release_on_retire,8,260,4,49,49,True,True,4,134,80
0,4,64,lru_value_records,3,708,4,193,191,False,False,3,103,0
0,4,64,release_on_retire,3,708,4,193,191,False,False,3,103,0
0,4,64,lru_value_records,4,708,4,193,192,False,False,4,137,0
0,4,64,release_on_retire,4,708,4,193,193,True,True,4,134,0
0,4,64,lru_value_records,8,708,4,193,192,False,False,8,272,0
0,4,64,release_on_retire,8,708,4,193,193,True,True,4,134,0
0,4,64,lru_value_records,3,772,4,193,191,False,False,3,103,64
0,4,64,release_on_retire,3,772,4,193,191,False,False,3,103,64
0,4,64,lru_value_records,4,772,4,193,192,False,False,4,137,64
0,4,64,release_on_retire,4,772,4,193,193,True,True,4,134,64
0,4,64,lru_value_records,8,772,4,193,192,False,False,8,272,64
0,4,64,release_on_retire,8,772,4,193,193,True,True,4,134,64
0,4,64,lru_value_records,3,1028,4,193,191,False,False,3,103,320
0,4,64,release_on_retire,3,1028,4,193,191,False,False,3,103,320
0,4,64,lru_value_records,4,1028,4,193,192,False,False,4,137,320
0,4,64,release_on_retire,4,1028,4,193,193,True,True,4,134,320
0,4,64,lru_value_records,8,1028,4,193,192,False,False,8,272,320
0,4,64,release_on_retire,8,1028,4,193,193,True,True,4,134,320
0,8,4,lru_value_records,7,96,8,29,27,False,False,7,230,0
0,8,4,release_on_retire,7,96,8,29,27,False,False,7,229,0
